# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: node-resolved fetal-vs-adult channel + Ca-handling expression by SAN/AVN/vCM; linear TP10K, within-dataset
group,group_label,dataset,n_cells,gene,label,family,mean_tp10k,detect_frac
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCNH2,Kv11.1 (IKr),K channel,0.3215,0.2516
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCNQ1,Kv7.1 (IKs),K channel,1.9015,0.6774
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCNA5,Kv1.5 (IKur),K channel,0.0139,0.0258
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCND3,Kv4.3 (Ito),K channel,2.6519,0.5742
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCNJ2,Kir2.1 (IK1),K channel,0.0189,0.0516
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCNJ3,Kir3.1 (IKACh),K channel,8.5315,0.7871
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,KCNJ5,Kir3.4 (IKACh),K channel,0.5145,0.2387
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,SCN5A,Nav1.5,Na channel,0.6485,0.3097
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,ATP1A1,Na/K-ATPase a1,Transporter,1.9609,0.6194
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,HCN4,HCN4 (If),HCN,0.4912,0.2839
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,HCN1,HCN1 (If),HCN,3.5776,0.4903
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,GJA5,Cx40 (GJA5),Identity,0.1686,0.071
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,GJC1,Cx45 (GJC1),Identity,0.917,0.4581
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,TBX3,TBX3,Identity,1.9764,0.5484
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,SHOX2,SHOX2,Identity,0.1133,0.0774
adult_AVN_pace,Adult AVN pacemaker,kanemaru_conduction,310,ISL1,ISL1,Identity,0.0,0.0
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CACNA1C,Cav1.2 (L),Ca channel,72.4173,0.9777
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CACNA1D,Cav1.3 (L),Ca channel,0.2361,0.1033
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CACNA1G,Cav3.1 (T),Ca channel,0.0165,0.0124
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CACNA1H,Cav3.2 (T),Ca channel,0.0052,0.0042
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CACNA1I,Cav3.3 (T),Ca channel,0.0021,0.001
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,SLC8A1,NCX1,Ca handling,79.3501,0.9831
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,ATP2A2,SERCA2a,Ca handling,12.6842,0.9348
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,RYR2,RyR2,Ca handling,168.8598,0.9919
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,PLN,PLN,Ca handling,8.4375,0.9114
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CASQ2,CASQ2,Ca handling,3.9055,0.7827
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,ATP2B4,PMCA4,Ca handling,4.057,0.7602
adult_AVN_work,Adult AVN working,kanemaru_conduction,14507,CALM1,CaM1,Ca handling,0.9046,0.4184
